id,Vehicle Name,Vehicle Description,Branch
184,V1793 ME Nth,Utility Ford Ranger 4x4 Half Canopy Single Cab EIC w/Crane,Mechanical and Electrical Services - North
185,V1794 ME Sth,Utility Ford Ranger 4x2 Canopy Single Cab EIC,Mechanical and Electrical Services - South
186,V1795 ME Sth,Utility Ford Ranger 4x2 Canopy Single Cab EIC,Mechanical and Electrical Services - South
187,V1796 Net Ops,Utility Ford Ranger 4x2 Alloy Tray modified Single Cab SPO,Network Operations
188,V1797 Pri Wks Sth,Utility Ford Ranger 4x4 Alloy Tray Single Cab SPO,Private Works South
189,V1798 Pri Wks Sth,Utility Ford Ranger 4x2 Half Canopy Single Cab PSA,Private Works South
190,V1799 Asset Kn P,Utility Ford Ranger 4x2 Alloy Tray Dual Cab,Asset Knowledge & Performance
191,V1800 STP Sth OIC,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Treatment Plants
192,V1801 STP Sth,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Treatment Plants
193,V1802 M & E Nth,Utility Ford Ranger 4x2 Canopy Single Cab,Mechanical and Electrical Services - North
194,V1803 ME Nth,Utility Ford Ranger 4x2 Canopy Single Cab EIC,Mechanical and Electrical Services - North
195,V1804 WACI Nth,Utility Ford Ranger 4x2 Well Back Dual Cab,Wellbeing & Continuous Improvement
196,V1805 Cap Del STP,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Capital Delivery
197,V1806 CS Trade waste,Utility Ford Ranger 4x2 Canopy Single Cab,Trade Waste
198,V1807 Cap Del,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Capital Delivery
199,V1808 Comm Delivery,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Commercial Delivery
200,V1809 Comm Delivery,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Commercial Delivery
201,V1810 STP Nth,Utility Ford Ranger  4x2 Alloy Tray Dual Cab,Treatment Plants
202,V1811 FS Nth,Utility Ford Ranger 4x4 Canopy Single Cab MRO,Field Services North
203,V1812 NSC Fleet Ute,Utility Ford Ranger 4x2 Alloy Tray Dual Cab,Field Services North
204,V1813 FS Nth,Utility Ford Ranger 4x4 Half Canopy Single Cab MRO,Field Services North
205,V1814 STP N Technolg,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Treatment Plants
206,V1815 STP S Technolg,Utility Ford Ranger 4x2 XL Single Cab,Treatment Plants
207,V1816 STP N A Mgr,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Treatment Plants
208,V1817 STP Nth,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Treatment Plants
209,V1818 FS Sth,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Field Services South
210,V1819 FS Nth,Utility Ford Ranger 4x2 Dual Cab,Field Services North
