InputIndex,Address to Validate,LOCALITY,Primary Address,Locality,Postcode,Local Government Name,LotNumber,PlanNumber,Longitude,Latitude,GeocodeType,Confidence,FullAddress,Complex-Building Name,Comment
154,95 Upper Hastings st,NOOSA HEADS,95 UPPER HASTINGS ST,NOOSA HEADS,4567,NOOSA SHIRE,43,RP52918,153.0954973,-26.38741612,PC,100,95 UPPER HASTINGS ST  NOOSA HEADS QLD 4567,, 
155,28 Dauntless ave,BLI BLI,28 DAUNTLESS AV,BLI BLI,4560,SUNSHINE COAST REGIONAL,14,SP264833,153.02668224,-26.60360897,PC,100,28 DAUNTLESS AV  BLI BLI QLD 4560,, 
156,17 Dauntless ave,BLI BLI,17 DAUNTLESS AV,BLI BLI,4560,SUNSHINE COAST REGIONAL,26,SP264833,153.02605846,-26.60353693,PC,100,17 DAUNTLESS AV  BLI BLI QLD 4560,, 
158,15 Berry ct,MOUNT COOLUM,15 BERRY CT,MOUNT COOLUM,4573,SUNSHINE COAST REGIONAL,30,SP191652,153.08490874,-26.55193081,PC,100,15 BERRY CT  MOUNT COOLUM QLD 4573,, 
160,146 Suncoast Beach dr,MOUNT COOLUM,146 SUNCOAST BEACH DR,MOUNT COOLUM,4573,SUNSHINE COAST REGIONAL,11,RP182383,153.07993667,-26.56559822,PC,100,146 SUNCOAST BEACH DR  MOUNT COOLUM QLD 4573,, 
161,14 Comet dr,SUNRISE BEACH,14 COMET DR,SUNRISE BEACH,4567,NOOSA SHIRE,1027,CP899845,153.10038175,-26.41919772,PC,100,14 COMET DR  SUNRISE BEACH QLD 4567,, 
163,9 Glasshouse View ct,BUDERIM,9 GLASSHOUSE VIEW CT,BUDERIM,4556,SUNSHINE COAST REGIONAL,47,RP136036,153.07021654,-26.68492067,PC,100,9 GLASSHOUSE VIEW CT  BUDERIM QLD 4556,, 
164,24 Florence st,NAMBOUR,24 FLORENCE ST,NAMBOUR,4560,SUNSHINE COAST REGIONAL,13,RP101488,152.95453928,-26.62370244,PC,100,24 FLORENCE ST  NAMBOUR QLD 4560,, 
165,9 Yeramba pl,BUDERIM,9 YERAMBA PL,BUDERIM,4556,SUNSHINE COAST REGIONAL,8,RP145513,153.07459679,-26.68867056,PC,100,9 YERAMBA PL  BUDERIM QLD 4556,, 
166,24 Mill rd,BUDERIM,24 MILL RD,BUDERIM,4556,SUNSHINE COAST REGIONAL,37,RP96541,153.05940398,-26.67998236,PC,100,24 MILL RD  BUDERIM QLD 4556,, 
167,79 Samwhite dr,BUDERIM,79 SAM WHITE DR,BUDERIM,4556,SUNSHINE COAST REGIONAL,31,SP168136,153.03643867,-26.67250548,PC,99,79 SAM WHITE DR  BUDERIM QLD 4556,, 
169,108 Wappa Falls rd,YANDINA,108 WAPPA FALLS RD,YANDINA,4561,SUNSHINE COAST REGIONAL,3,RP163551,152.94348821,-26.57561189,PC,100,108 WAPPA FALLS RD  YANDINA QLD 4561,, 
